left_idx,right_idx,sem_score,left_sig,right_sig
5,44,0.053,og_description,alloy
6,3,0.177,manufacturers part number,mpn
6,202,0.152,manufacturers part number,compatible part/model number
6,161,0.096,manufacturers part number,number of items
6,149,0.096,manufacturers part number,number of keys
6,100,0.078,manufacturers part number,number of screw holes
6,35,0.077,manufacturers part number,number of pieces
6,69,0.0,manufacturers part number,vertical lifting load
6,70,0.0,manufacturers part number,mounting location
6,91,0.0,manufacturers part number,top screw/rod diameter
6,90,0.0,manufacturers part number,similar to
7,253,0.0,brand,military standard equivalent
7,79,0.0,brand,bumper width
7,92,0.0,brand,drill size
7,91,0.0,brand,top screw/rod diameter
7,90,0.0,brand,similar to
7,89,0.0,brand,full ball diameter
7,88,0.0,brand,ball height
7,87,0.0,brand,lock nut
7,86,0.0,brand,lock out
7,85,0.0,brand,body finish
8,48,0.206,material,body material
8,44,0.201,material,alloy
8,75,0.166,material,ball material
8,65,0.165,material,nose material
8,113,0.162,material,leveler material
8,74,0.126,material,set screw body material
8,64,0.095,material,insert material
8,63,0.089,material,cover plate material
8,160,0.082,material,container material
8,81,0.081,material,backing material
9,71,0.126,package quantity,package includes
9,206,0.087,package quantity,load @ solid weight
9,38,0.062,package quantity,load capacity range
9,4,0.034,package quantity,meta_description
9,5,0.034,package quantity,og_description
9,86,0.0,package quantity,lock out
9,82,0.0,package quantity,hardness
9,83,0.0,package quantity,door handle type
9,84,0.0,package quantity,thread type
9,85,0.0,package quantity,body finish
10,74,0.218,description,set screw body material
10,4,0.194,description,meta_description
10,5,0.194,description,og_description
10,179,0.14,description,screw type
10,100,0.075,description,number of screw holes
10,91,0.073,description,top screw/rod diameter
10,200,0.056,description,screw size
10,85,0.0,description,body finish
10,82,0.0,description,hardness
10,83,0.0,description,door handle type
11,161,0.09,country of origin,number of items
11,149,0.09,country of origin,number of keys
11,100,0.073,country of origin,number of screw holes
11,35,0.071,country of origin,number of pieces
11,169,0.059,country of origin,feet of head
11,15,0.059,country of origin,unit of measurement
11,85,0.0,country of origin,body finish
11,83,0.0,country of origin,door handle type
11,84,0.0,country of origin,thread type
11,87,0.0,country of origin,lock nut
12,37,0.389,length,thread length
12,98,0.375,length,handle length
12,219,0.358,length,leg length
12,185,0.158,length,staple length
12,176,0.148,length,body length
12,54,0.145,length,stud length
12,156,0.139,length,nose length
12,174,0.138,length,plate length
12,55,0.136,length,pin length
12,18,0.111,length,height
13,85,0.802,finish,body finish
13,4,0.119,finish,meta_description
13,5,0.119,finish,og_description
13,253,0.0,finish,military standard equivalent
13,87,0.0,finish,lock nut
13,82,0.0,finish,hardness
13,83,0.0,finish,door handle type
13,84,0.0,finish,thread type
13,86,0.0,finish,lock out
13,88,0.0,finish,ball height
14,130,0.137,size,swivel angle
14,137,0.135,size,square size
14,4,0.127,size,meta_description
14,5,0.127,size,og_description
14,95,0.096,size,bolt size
14,126,0.093,size,spindle size
14,109,0.091,size,hex key size
14,129,0.089,size,bore size
14,173,0.089,size,nut size
14,92,0.078,size,drill size
15,127,0.088,unit of measurement,threads per inch
15,149,0.078,unit of measurement,number of keys
15,161,0.078,unit of measurement,number of items
15,100,0.063,unit of measurement,number of screw holes
15,35,0.062,unit of measurement,number of pieces
15,11,0.059,unit of measurement,country of origin
15,169,0.051,unit of measurement,feet of head
15,88,0.0,unit of measurement,ball height
15,82,0.0,unit of measurement,hardness
15,87,0.0,unit of measurement,lock nut
16,78,0.209,type,cutting point
16,5,0.127,type,og_description
16,4,0.127,type,meta_description
16,84,0.095,type,thread type
16,221,0.091,type,staple type
16,106,0.089,type,drive type
16,43,0.089,type,threading type
16,248,0.089,type,wheel type
16,119,0.088,type,exit type
16,83,0.075,type,door handle type
17,31,0.2,color,thread size
17,203,0.154,color,frame color family
17,92,0.0,color,drill size
17,91,0.0,color,top screw/rod diameter
17,90,0.0,color,similar to
17,89,0.0,color,full ball diameter
17,88,0.0,color,ball height
17,87,0.0,color,lock nut
17,79,0.0,color,bumper width
17,85,0.0,color,body finish
18,209,0.575,height,opening height
18,94,0.57,height,mount height
18,208,0.433,height,overall frame height
18,145,0.213,height,base height
18,103,0.201,height,handle height
18,80,0.198,height,bumper height
18,88,0.194,height,ball height
18,234,0.15,height,pad height (l3)
18,231,0.134,height,base height (l2)
18,12,0.111,height,length
19,178,0.327,width,flange thickness
19,211,0.162,width,opening width
19,118,0.157,width,assembled width
19,218,0.125,width,crown width
19,175,0.123,width,plate width
19,79,0.122,width,bumper width
19,136,0.107,width,max door width
19,12,0.061,width,length
19,18,0.051,width,height
19,57,0.049,width,a/f
20,165,0.19,head,int. hex
20,109,0.184,head,hex key size
20,232,0.177,head,hex flats (a/f)
20,169,0.163,head,feet of head
20,151,0.15,head,hex size
20,82,0.0,head,hardness
20,83,0.0,head,door handle type
20,84,0.0,head,thread type
20,253,0.0,head,military standard equivalent
20,81,0.0,head,backing material
21,253,0.0,grade,military standard equivalent
21,94,0.0,grade,mount height
21,92,0.0,grade,drill size
21,91,0.0,grade,top screw/rod diameter
21,90,0.0,grade,similar to
21,89,0.0,grade,full ball diameter
21,88,0.0,grade,ball height
21,87,0.0,grade,lock nut
21,86,0.0,grade,lock out
21,85,0.0,grade,body finish
22,253,0.0,warranty,military standard equivalent
22,94,0.0,warranty,mount height
22,92,0.0,warranty,drill size
22,91,0.0,warranty,top screw/rod diameter
22,90,0.0,warranty,similar to
22,89,0.0,warranty,full ball diameter
22,88,0.0,warranty,ball height
22,87,0.0,warranty,lock nut
22,86,0.0,warranty,lock out
22,85,0.0,warranty,body finish
23,253,0.0,certifications,military standard equivalent
23,94,0.0,certifications,mount height
23,92,0.0,certifications,drill size
23,91,0.0,certifications,top screw/rod diameter
23,90,0.0,certifications,similar to
23,89,0.0,certifications,full ball diameter
23,88,0.0,certifications,ball height
23,87,0.0,certifications,lock nut
23,86,0.0,certifications,lock out
23,85,0.0,certifications,body finish
24,29,0.3,weight,weight capacity
24,206,0.26,weight,load @ solid weight
24,68,0.101,weight,end pressure full
24,67,0.1,weight,end pressure start
24,115,0.099,weight,start-end pressure
24,93,0.099,weight,max load
24,116,0.099,weight,final end pressure
24,69,0.096,weight,vertical lifting load
24,59,0.088,weight,spring rate
24,38,0.071,weight,load capacity range
25,157,0.122,diameter,hole diameter
25,177,0.11,diameter,nose diameter
25,247,0.109,diameter,wheel diameter
25,188,0.107,diameter,bypass diameter
25,41,0.087,diameter,base diameter
25,124,0.087,diameter,body diameter
25,239,0.085,diameter,ball diameter
25,53,0.085,diameter,pin diameter
25,240,0.084,diameter,handle diameter
25,186,0.082,diameter,nominal flow diameter
26,84,0.274,thread,thread type
26,207,0.168,thread,coarse or fine thread
26,128,0.15,thread,thread (d2)
26,108,0.148,thread,thread (d1)
26,37,0.147,thread,thread length
26,183,0.141,thread,d thread
26,31,0.107,thread,thread size
26,238,0.104,thread,spindle thread
26,166,0.077,thread,d2 thread
26,235,0.069,thread,thread length (l1)
27,245,0.148,gauge,ctc
27,240,0.125,gauge,handle diameter
27,253,0.0,gauge,military standard equivalent
27,86,0.0,gauge,lock out
27,81,0.0,gauge,backing material
27,82,0.0,gauge,hardness
27,83,0.0,gauge,door handle type
27,84,0.0,gauge,thread type
27,85,0.0,gauge,body finish
27,87,0.0,gauge,lock nut
28,243,0.218,style,mounting style
28,253,0.0,style,military standard equivalent
28,86,0.0,style,lock out
28,81,0.0,style,backing material
28,82,0.0,style,hardness
28,83,0.0,style,door handle type
28,84,0.0,style,thread type
28,85,0.0,style,body finish
28,87,0.0,style,lock nut
28,79,0.0,style,bumper width
29,24,0.3,weight capacity,weight
29,45,0.145,weight capacity,padlock capacity
29,251,0.145,weight capacity,capacity
29,206,0.14,weight capacity,load @ solid weight
29,139,0.116,weight capacity,dimension d1
29,222,0.101,weight capacity,sheet capacity
29,38,0.091,weight capacity,load capacity range
29,68,0.055,weight capacity,end pressure full
29,67,0.054,weight capacity,end pressure start
29,115,0.053,weight capacity,start-end pressure
30,32,0.084,includes,for use with
30,71,0.071,includes,package includes
30,4,0.023,includes,meta_description
30,5,0.023,includes,og_description
30,89,0.0,includes,full ball diameter
30,84,0.0,includes,thread type
30,85,0.0,includes,body finish
30,86,0.0,includes,lock out
30,87,0.0,includes,lock nut
30,88,0.0,includes,ball height
31,17,0.2,thread size,color
31,128,0.119,thread size,thread (d2)
31,108,0.118,thread size,thread (d1)
31,37,0.117,thread size,thread length
31,183,0.112,thread size,d thread
31,137,0.112,thread size,square size
31,26,0.107,thread size,thread
31,95,0.101,thread size,bolt size
31,92,0.083,thread size,drill size
31,238,0.082,thread size,spindle thread
32,201,0.308,for use with,for use with make
32,30,0.084,for use with,includes
32,176,0.048,for use with,body length
32,124,0.047,for use with,body diameter
32,54,0.047,for use with,stud length
32,210,0.045,for use with,opening depth
32,230,0.042,for use with,voltage
32,52,0.037,for use with,interior or exterior use
32,162,0.035,for use with,helicoil equivalent
32,143,0.033,for use with,max door thickness
33,253,0.0,series,military standard equivalent
33,63,0.0,series,cover plate material
33,92,0.0,series,drill size
33,91,0.0,series,top screw/rod diameter
33,90,0.0,series,similar to
33,89,0.0,series,full ball diameter
33,88,0.0,series,ball height
33,87,0.0,series,lock nut
33,86,0.0,series,lock out
33,85,0.0,series,body finish
34,207,0.093,full or partial thread,coarse or fine thread
34,128,0.087,full or partial thread,thread (d2)
34,108,0.086,full or partial thread,thread (d1)
34,183,0.082,full or partial thread,d thread
34,89,0.072,full or partial thread,full ball diameter
34,144,0.068,full or partial thread,resistance
34,37,0.068,full or partial thread,thread length
34,68,0.063,full or partial thread,end pressure full
34,26,0.062,full or partial thread,thread
34,84,0.06,full or partial thread,thread type
35,161,0.309,number of pieces,number of items
35,149,0.309,number of pieces,number of keys
35,100,0.251,number of pieces,number of screw holes
35,196,0.105,number of pieces,across flats
35,6,0.077,number of pieces,manufacturers part number
35,11,0.071,number of pieces,country of origin
35,202,0.065,number of pieces,compatible part/model number
35,169,0.062,number of pieces,feet of head
35,15,0.062,number of pieces,unit of measurement
35,253,0.0,number of pieces,military standard equivalent
36,210,0.265,depth,opening depth
36,12,0.091,depth,length
36,18,0.076,depth,height
36,57,0.073,depth,a/f
36,180,0.07,depth,dimension a
36,244,0.065,depth,base
36,96,0.063,depth,deflection
36,216,0.062,depth,bore
36,125,0.06,depth,radius
36,246,0.06,depth,offset
37,12,0.389,thread length,length
37,98,0.344,thread length,handle length
37,219,0.329,thread length,leg length
37,235,0.293,thread length,thread length (l1)
37,128,0.165,thread length,thread (d2)
37,108,0.162,thread length,thread (d1)
37,185,0.159,thread length,staple length
37,183,0.155,thread length,d thread
37,26,0.147,thread length,thread
37,176,0.123,thread length,body length
38,59,0.177,load capacity range,spring rate
38,206,0.121,load capacity range,load @ solid weight
38,169,0.103,load capacity range,feet of head
38,29,0.091,load capacity range,weight capacity
38,251,0.09,load capacity range,capacity
38,45,0.09,load capacity range,padlock capacity
38,93,0.075,load capacity range,max load
38,69,0.073,load capacity range,vertical lifting load
38,24,0.071,load capacity range,weight
38,222,0.063,load capacity range,sheet capacity
39,57,0.599,thickness,a/f
39,145,0.281,thickness,base height
39,77,0.271,thickness,mounting dimensions
39,132,0.167,thickness,combined thickness
39,171,0.162,thickness,door thickness
39,236,0.122,thickness,plate thickness
39,178,0.121,thickness,flange thickness
39,141,0.113,thickness,wire thickness
39,151,0.106,thickness,hex size
39,230,0.103,thickness,voltage
40,106,0.222,drive,drive type
40,253,0.0,drive,military standard equivalent
40,93,0.0,drive,max load
40,91,0.0,drive,top screw/rod diameter
40,90,0.0,drive,similar to
40,89,0.0,drive,full ball diameter
40,88,0.0,drive,ball height
40,87,0.0,drive,lock nut
40,86,0.0,drive,lock out
40,85,0.0,drive,body finish
41,53,0.588,base diameter,pin diameter
41,233,0.327,base diameter,base diameter (d1)
41,244,0.232,base diameter,base
41,145,0.122,base diameter,base height
41,157,0.102,base diameter,hole diameter
41,177,0.092,base diameter,nose diameter
41,247,0.091,base diameter,wheel diameter
41,188,0.09,base diameter,bypass diameter
41,25,0.087,base diameter,diameter
41,231,0.081,base diameter,base height (l2)
42,253,0.0,design,military standard equivalent
42,63,0.0,design,cover plate material
42,92,0.0,design,drill size
42,91,0.0,design,top screw/rod diameter
42,90,0.0,design,similar to
42,89,0.0,design,full ball diameter
42,88,0.0,design,ball height
42,87,0.0,design,lock nut
42,86,0.0,design,lock out
42,85,0.0,design,body finish
43,207,0.213,threading type,coarse or fine thread
43,84,0.089,threading type,thread type
43,16,0.089,threading type,type
43,221,0.086,threading type,staple type
43,248,0.084,threading type,wheel type
43,106,0.084,threading type,drive type
43,119,0.083,threading type,exit type
43,83,0.07,threading type,door handle type
43,99,0.069,threading type,handle type
43,172,0.068,threading type,accessory type
44,8,0.201,alloy,material
44,4,0.053,alloy,meta_description
44,5,0.053,alloy,og_description
44,88,0.0,alloy,ball height
44,83,0.0,alloy,door handle type
44,84,0.0,alloy,thread type
44,85,0.0,alloy,body finish
44,86,0.0,alloy,lock out
44,87,0.0,alloy,lock nut
44,253,0.0,alloy,military standard equivalent
45,251,0.248,padlock capacity,capacity
45,222,0.173,padlock capacity,sheet capacity
45,29,0.145,padlock capacity,weight capacity
45,38,0.09,padlock capacity,load capacity range
45,86,0.0,padlock capacity,lock out
45,82,0.0,padlock capacity,hardness
45,83,0.0,padlock capacity,door handle type
45,84,0.0,padlock capacity,thread type
45,85,0.0,padlock capacity,body finish
45,253,0.0,padlock capacity,military standard equivalent
46,185,0.13,installed length,staple length
46,37,0.104,installed length,thread length
46,12,0.103,installed length,length
46,98,0.1,installed length,handle length
46,219,0.095,installed length,leg length
46,176,0.079,installed length,body length
46,54,0.078,installed length,stud length
46,156,0.074,installed length,nose length
46,174,0.074,installed length,plate length
46,55,0.072,installed length,pin length
47,218,0.398,crown,crown width
47,221,0.391,crown,staple type
47,79,0.0,crown,bumper width
47,91,0.0,crown,top screw/rod diameter
47,90,0.0,crown,similar to
47,89,0.0,crown,full ball diameter
47,88,0.0,crown,ball height
47,87,0.0,crown,lock nut
47,86,0.0,crown,lock out
47,85,0.0,crown,body finish
48,74,0.349,body material,set screw body material
48,8,0.206,body material,material
48,64,0.187,body material,insert material
48,63,0.175,body material,cover plate material
48,75,0.175,body material,ball material
48,65,0.173,body material,nose material
48,113,0.171,body material,leveler material
48,61,0.123,body material,body mount material
48,176,0.121,body material,body length
48,124,0.12,body material,body diameter
49,253,0.0,units,military standard equivalent
49,79,0.0,units,bumper width
49,92,0.0,units,drill size
49,91,0.0,units,top screw/rod diameter
49,90,0.0,units,similar to
49,89,0.0,units,full ball diameter
49,88,0.0,units,ball height
49,87,0.0,units,lock nut
49,86,0.0,units,lock out
49,85,0.0,units,body finish
50,157,0.111,inner diameter,hole diameter
50,177,0.074,inner diameter,nose diameter
50,247,0.073,inner diameter,wheel diameter
50,188,0.072,inner diameter,bypass diameter
50,25,0.069,inner diameter,diameter
50,41,0.058,inner diameter,base diameter
50,124,0.058,inner diameter,body diameter
50,239,0.057,inner diameter,ball diameter
50,53,0.057,inner diameter,pin diameter
50,240,0.057,inner diameter,handle diameter
51,253,0.0,fastener collation,military standard equivalent
51,79,0.0,fastener collation,bumper width
51,92,0.0,fastener collation,drill size
51,91,0.0,fastener collation,top screw/rod diameter
51,90,0.0,fastener collation,similar to
51,89,0.0,fastener collation,full ball diameter
51,88,0.0,fastener collation,ball height
51,87,0.0,fastener collation,lock nut
51,86,0.0,fastener collation,lock out
51,85,0.0,fastener collation,body finish
52,201,0.054,interior or exterior use,for use with make
52,207,0.047,interior or exterior use,coarse or fine thread
52,34,0.046,interior or exterior use,full or partial thread
52,200,0.046,interior or exterior use,screw size
52,32,0.037,interior or exterior use,for use with
52,69,0.0,interior or exterior use,vertical lifting load
52,80,0.0,interior or exterior use,bumper height
52,90,0.0,interior or exterior use,similar to
52,89,0.0,interior or exterior use,full ball diameter
52,88,0.0,interior or exterior use,ball height
53,41,0.588,pin diameter,base diameter
53,55,0.14,pin diameter,pin length
53,233,0.134,pin diameter,base diameter (d1)
53,157,0.099,pin diameter,hole diameter
53,177,0.09,pin diameter,nose diameter
53,247,0.089,pin diameter,wheel diameter
53,188,0.087,pin diameter,bypass diameter
53,25,0.085,pin diameter,diameter
53,124,0.071,pin diameter,body diameter
53,239,0.069,pin diameter,ball diameter
54,176,0.569,stud length,body length
54,124,0.22,stud length,body diameter
54,210,0.21,stud length,opening depth
54,12,0.145,stud length,length
54,37,0.121,stud length,thread length
54,192,0.119,stud length,stud
54,185,0.119,stud length,staple length
54,98,0.116,stud length,handle length
54,219,0.111,stud length,leg length
54,156,0.086,stud length,nose length
55,53,0.14,pin length,pin diameter
55,12,0.136,pin length,length
55,37,0.113,pin length,thread length
55,185,0.111,pin length,staple length
55,98,0.108,pin length,handle length
55,219,0.103,pin length,leg length
55,176,0.086,pin length,body length
55,54,0.084,pin length,stud length
55,156,0.081,pin length,nose length
55,174,0.08,pin length,plate length
56,158,0.366,fire rating,rating
56,148,0.16,fire rating,latch
56,86,0.0,fire rating,lock out
56,81,0.0,fire rating,backing material
56,82,0.0,fire rating,hardness
56,83,0.0,fire rating,door handle type
56,84,0.0,fire rating,thread type
56,85,0.0,fire rating,body finish
56,253,0.0,fire rating,military standard equivalent
56,80,0.0,fire rating,bumper height
57,39,0.599,a/f,thickness
57,145,0.469,a/f,base height
57,77,0.452,a/f,mounting dimensions
57,151,0.176,a/f,hex size
57,230,0.171,a/f,voltage
57,127,0.168,a/f,threads per inch
57,12,0.108,a/f,length
57,18,0.09,a/f,height
57,180,0.083,a/f,dimension a
57,244,0.078,a/f,base
58,150,0.236,mounting distance,dimension w
58,199,0.22,mounting distance,clearance
58,92,0.102,mounting distance,drill size
58,72,0.101,mounting distance,max deflection
58,213,0.1,mounting distance,dimension l4
58,77,0.095,mounting distance,mounting dimensions
58,243,0.09,mounting distance,mounting style
58,237,0.082,mounting distance,mounting hole diameter
58,126,0.08,mounting distance,spindle size
58,218,0.079,mounting distance,crown width
59,38,0.177,spring rate,load capacity range
59,24,0.088,spring rate,weight
59,169,0.064,spring rate,feet of head
59,29,0.047,spring rate,weight capacity
59,68,0.042,spring rate,end pressure full
59,67,0.041,spring rate,end pressure start
59,206,0.041,spring rate,load @ solid weight
59,115,0.041,spring rate,start-end pressure
59,93,0.041,spring rate,max load
59,116,0.041,spring rate,final end pressure
60,135,0.135,max travel,flat ball diameter
60,72,0.106,max travel,max deflection
60,112,0.104,max travel,max hole spacing
60,122,0.101,max travel,max user codes
60,136,0.076,max travel,max door width
60,93,0.073,max travel,max load
60,229,0.069,max travel,max operating psi
60,143,0.049,max travel,max door thickness
60,88,0.0,max travel,ball height
60,87,0.0,max travel,lock nut
61,48,0.123,body mount material,body material
61,94,0.094,body mount material,mount height
61,74,0.075,body mount material,set screw body material
61,198,0.07,body mount material,gasket material
61,120,0.062,body mount material,mount hole diameter
61,176,0.061,body mount material,body length
61,124,0.06,body mount material,body diameter
61,70,0.057,body mount material,mounting location
61,85,0.056,body mount material,body finish
61,8,0.046,body mount material,material
62,79,0.0,durometer,bumper width
62,92,0.0,durometer,drill size
62,91,0.0,durometer,top screw/rod diameter
62,90,0.0,durometer,similar to
62,89,0.0,durometer,full ball diameter
62,88,0.0,durometer,ball height
62,87,0.0,durometer,lock nut
62,86,0.0,durometer,lock out
62,85,0.0,durometer,body finish
62,84,0.0,durometer,thread type
63,64,0.792,cover plate material,insert material
63,48,0.175,cover plate material,body material
63,8,0.089,cover plate material,material
63,164,0.076,cover plate material,handle material
63,75,0.076,cover plate material,ball material
63,65,0.075,cover plate material,nose material
63,113,0.074,cover plate material,leveler material
63,174,0.066,cover plate material,plate length
63,236,0.066,cover plate material,plate thickness
63,175,0.065,cover plate material,plate width
64,63,0.792,insert material,cover plate material
64,48,0.187,insert material,body material
64,8,0.095,insert material,material
64,164,0.081,insert material,handle material
64,75,0.081,insert material,ball material
64,65,0.08,insert material,nose material
64,113,0.079,insert material,leveler material
64,74,0.061,insert material,set screw body material
64,160,0.04,insert material,container material
64,81,0.039,insert material,backing material
65,75,0.58,nose material,ball material
65,113,0.565,nose material,leveler material
65,74,0.438,nose material,set screw body material
65,48,0.173,nose material,body material
65,8,0.165,nose material,material
65,177,0.153,nose material,nose diameter
65,156,0.114,nose material,nose length
65,64,0.08,nose material,insert material
65,63,0.075,nose material,cover plate material
65,160,0.069,nose material,container material
66,171,0.283,fits door thickness,door thickness
66,143,0.118,fits door thickness,max door thickness
66,132,0.092,fits door thickness,combined thickness
66,39,0.091,fits door thickness,thickness
66,236,0.067,fits door thickness,plate thickness
66,178,0.067,fits door thickness,flange thickness
66,200,0.067,fits door thickness,screw size
66,136,0.066,fits door thickness,max door width
66,83,0.063,fits door thickness,door handle type
66,141,0.062,fits door thickness,wire thickness
67,68,0.426,end pressure start,end pressure full
67,115,0.333,end pressure start,start-end pressure
67,116,0.247,end pressure start,final end pressure
67,24,0.1,end pressure start,weight
67,170,0.072,end pressure start,back pressure
67,29,0.054,end pressure start,weight capacity
67,206,0.047,end pressure start,load @ solid weight
67,93,0.047,end pressure start,max load
67,69,0.045,end pressure start,vertical lifting load
67,59,0.041,end pressure start,spring rate
68,67,0.426,end pressure full,end pressure start
68,115,0.251,end pressure full,start-end pressure
68,116,0.249,end pressure full,final end pressure
68,24,0.101,end pressure full,weight
68,89,0.082,end pressure full,full ball diameter
68,144,0.077,end pressure full,resistance
68,170,0.073,end pressure full,back pressure
68,34,0.063,end pressure full,full or partial thread
68,29,0.055,end pressure full,weight capacity
68,206,0.047,end pressure full,load @ solid weight
69,206,0.102,vertical lifting load,load @ solid weight
69,93,0.102,vertical lifting load,max load
69,24,0.096,vertical lifting load,weight
69,38,0.073,vertical lifting load,load capacity range
69,97,0.064,vertical lifting load,rated load
69,105,0.058,vertical lifting load,deflection at solid load
69,29,0.052,vertical lifting load,weight capacity
69,68,0.046,vertical lifting load,end pressure full
69,67,0.045,vertical lifting load,end pressure start
69,115,0.045,vertical lifting load,start-end pressure
70,73,0.168,mounting location,adhesive
70,204,0.091,mounting location,frame material
70,243,0.084,mounting location,mounting style
70,77,0.075,mounting location,mounting dimensions
70,237,0.065,mounting location,mounting hole diameter
70,58,0.063,mounting location,mounting distance
70,61,0.057,mounting location,body mount material
70,198,0.056,mounting location,gasket material
70,84,0.0,mounting location,thread type
70,88,0.0,mounting location,ball height
71,9,0.126,package includes,package quantity
71,30,0.071,package includes,includes
71,143,0.061,package includes,max door thickness
71,253,0.0,package includes,military standard equivalent
71,82,0.0,package includes,hardness
71,83,0.0,package includes,door handle type
71,84,0.0,package includes,thread type
71,85,0.0,package includes,body finish
71,86,0.0,package includes,lock out
71,88,0.0,package includes,ball height
72,96,0.251,max deflection,deflection
72,92,0.121,max deflection,drill size
72,213,0.119,max deflection,dimension l4
72,105,0.109,max deflection,deflection at solid load
72,112,0.108,max deflection,max hole spacing
72,60,0.106,max deflection,max travel
72,122,0.104,max deflection,max user codes
72,58,0.101,max deflection,mounting distance
72,136,0.079,max deflection,max door width
72,93,0.076,max deflection,max load
73,250,0.206,adhesive,casters
73,249,0.206,adhesive,stackable
73,167,0.206,adhesive,recyclable
73,70,0.168,adhesive,mounting location
73,87,0.143,adhesive,lock nut
73,86,0.141,adhesive,lock out
73,189,0.139,adhesive,audit trail
73,117,0.139,adhesive,assembly required
73,114,0.139,adhesive,locking element
73,228,0.1,adhesive,made in the usa
74,75,0.442,set screw body material,ball material
74,65,0.438,set screw body material,nose material
74,113,0.431,set screw body material,leveler material
74,48,0.349,set screw body material,body material
74,10,0.218,set screw body material,description
74,8,0.126,set screw body material,material
74,179,0.113,set screw body material,screw type
74,5,0.09,set screw body material,og_description
74,4,0.09,set screw body material,meta_description
74,61,0.075,set screw body material,body mount material
75,65,0.58,ball material,nose material
75,113,0.57,ball material,leveler material
75,74,0.442,ball material,set screw body material
75,48,0.175,ball material,body material
75,8,0.166,ball material,material
75,88,0.116,ball material,ball height
75,239,0.101,ball material,ball diameter
75,89,0.095,ball material,full ball diameter
75,135,0.094,ball material,flat ball diameter
75,64,0.081,ball material,insert material
76,195,0.112,knob diameter,knob material
76,157,0.095,knob diameter,hole diameter
76,177,0.086,knob diameter,nose diameter
76,247,0.085,knob diameter,wheel diameter
76,188,0.084,knob diameter,bypass diameter
76,25,0.081,knob diameter,diameter
76,41,0.068,knob diameter,base diameter
76,124,0.068,knob diameter,body diameter
76,239,0.066,knob diameter,ball diameter
76,53,0.066,knob diameter,pin diameter
77,57,0.452,mounting dimensions,a/f
77,39,0.271,mounting dimensions,thickness
77,145,0.212,mounting dimensions,base height
77,159,0.133,mounting dimensions,tray dimensions
77,243,0.106,mounting dimensions,mounting style
77,237,0.098,mounting dimensions,mounting hole diameter
77,58,0.095,mounting dimensions,mounting distance
77,151,0.08,mounting dimensions,hex size
77,230,0.077,mounting dimensions,voltage
77,127,0.076,mounting dimensions,threads per inch
78,16,0.209,cutting point,type
78,4,0.055,cutting point,meta_description
78,5,0.055,cutting point,og_description
78,87,0.0,cutting point,lock nut
78,82,0.0,cutting point,hardness
78,83,0.0,cutting point,door handle type
78,84,0.0,cutting point,thread type
78,85,0.0,cutting point,body finish
78,86,0.0,cutting point,lock out
78,88,0.0,cutting point,ball height
79,80,0.131,bumper width,bumper height
79,211,0.124,bumper width,opening width
79,19,0.122,bumper width,width
79,118,0.12,bumper width,assembled width
79,218,0.095,bumper width,crown width
79,175,0.094,bumper width,plate width
79,136,0.082,bumper width,max door width
79,12,0.047,bumper width,length
79,18,0.039,bumper width,height
79,57,0.038,bumper width,a/f
80,18,0.198,bumper height,height
